YY,MM,DD,DISC 
2021,06,18,62.0
2021,06,19,58.1
2021,06,20,60.5
2021,06,21,89.6
2021,06,22,89.5
2021,06,23,77.8
2021,06,24,69.5
2021,06,25,61.9
2021,06,26,55.9
2021,06,27,56.5
2021,06,28,59.0
2021,06,29,61.1
2021,06,30,84.9
2021,07,01,67.5
2021,07,02,57.3
2021,07,03,55.6
2021,07,04,52.9
2021,07,05,51.8
2021,07,06,56.7
2021,07,07,82.1
2021,07,08,86.4
2021,07,09,75.3
2021,07,10,65.2
2021,07,11,58.4
2021,07,12,54.0
2021,07,13,51.2
2021,07,14,48.2
2021,07,15,47.4
2021,07,16,49.2
2021,07,17,47.2
2021,07,18,44.6
2021,07,19,43.4
2021,07,20,41.4
2021,07,21,40.3
2021,07,22,42.0
2021,07,23,43.8
2021,07,24,56.6
2021,07,25,117
